module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
bmm,1-analysis,Brainstorm Project,BP,10,skill:bmad-brainstorming,bmad-brainstorming,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,data=_bmad/bmm/data/project-context-template.md,通过单一或多种创意技巧进行专家引导的头脑风暴,planning_artifacts,brainstorming session
bmm,1-analysis,Market Research,MR,20,_bmad/bmm/workflows/1-analysis/research/workflow-market-research.md,bmad-bmm-market-research,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,市场分析、竞争格局、客户需求和趋势研究,planning_artifacts|project-knowledge,research documents
bmm,1-analysis,Domain Research,DR,21,_bmad/bmm/workflows/1-analysis/research/workflow-domain-research.md,bmad-bmm-domain-research,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,行业领域深度研究、专业知识和术语梳理,planning_artifacts|project_knowledge,research documents
bmm,1-analysis,Technical Research,TR,22,_bmad/bmm/workflows/1-analysis/research/workflow-technical-research.md,bmad-bmm-technical-research,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,技术可行性、架构选项和实施方案评估,planning_artifacts|project_knowledge,research documents
bmm,1-analysis,Create Brief,CB,30,_bmad/bmm/workflows/1-analysis/create-product-brief/workflow.md,bmad-bmm-create-product-brief,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,引导式产品构思体验，帮你明确产品创意,planning_artifacts,product brief
bmm,2-planning,Create PRD,CP,10,_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md,bmad-bmm-create-prd,true,pm,bmad:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Create Mode,专家引导生成产品需求文档(PRD),planning_artifacts,prd
bmm,2-planning,Validate PRD,VP,20,_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md,bmad-bmm-validate-prd,false,pm,bmad:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Validate Mode,验证PRD是否全面、精简、组织良好且连贯一致,planning_artifacts,prd validation report
bmm,2-planning,Edit PRD,EP,25,_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md,bmad-bmm-edit-prd,false,pm,bmad:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Edit Mode,改进和完善现有PRD,planning_artifacts,updated prd
bmm,2-planning,Create UX,CU,30,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md,bmad-bmm-create-ux-design,false,ux-designer,bmad:interaction design:agent:ux-designer,Sally,🎨 UX Designer,Create Mode,引导完成UX设计规划，如果项目有UI界面强烈推荐使用,planning_artifacts,ux design
bmm,3-solutioning,Create Architecture,CA,10,_bmad/bmm/workflows/3-solutioning/create-architecture/workflow.md,bmad-bmm-create-architecture,true,architect,bmad:cloud infrastructure:agent:architect,Winston,🏗️ Architect,Create Mode,引导式工作流记录技术架构决策,planning_artifacts,architecture
bmm,3-solutioning,Create Epics and Stories,CE,30,_bmad/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md,bmad-bmm-create-epics-and-stories,true,pm,bmad:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Create Mode,创建史诗和用户故事列表,planning_artifacts,epics and stories
bmm,3-solutioning,Check Implementation Readiness,IR,70,_bmad/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md,bmad-bmm-check-implementation-readiness,true,architect,bmad:cloud infrastructure:agent:architect,Winston,🏗️ Architect,Validate Mode,确保PRD、UX、架构和史诗故事之间对齐一致,planning_artifacts,readiness report
bmm,4-implementation,Sprint Planning,SP,10,_bmad/bmm/workflows/4-implementation/sprint-planning/workflow.md,bmad-bmm-sprint-planning,true,sm,bmad:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,生成开发任务的迭代计划——启动实施阶段，生成实施代理按顺序执行每个故事的计划,implementation_artifacts,sprint status
bmm,4-implementation,Sprint Status,SS,20,_bmad/bmm/workflows/4-implementation/sprint-status/workflow.md,bmad-bmm-sprint-status,false,sm,bmad:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,随时可用：汇总迭代状态并引导到下一个工作流,,
bmm,4-implementation,Create Story,CS,30,_bmad/bmm/workflows/4-implementation/create-story/workflow.md,bmad-bmm-create-story,true,sm,bmad:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,故事周期起点：准备迭代计划中的下一个故事，也可指定特定的史诗和故事。完成后依次进入VS→DS→CR，如需修复则回到DS，否则进入下一个CS或ER,implementation_artifacts,story
bmm,4-implementation,Validate Story,VS,35,_bmad/bmm/workflows/4-implementation/create-story/workflow.md,bmad-bmm-create-story,false,sm,bmad:story preparation:agent:sm,Bob,🏃 Scrum Master,Validate Mode,在开发工作开始前验证故事的准备情况和完整性,implementation_artifacts,story validation report
bmm,4-implementation,Dev Story,DS,40,_bmad/bmm/workflows/4-implementation/dev-story/workflow.md,bmad-bmm-dev-story,true,dev,bmad:all precision.:agent:dev,Amelia,💻 Developer Agent,Create Mode,故事周期：执行故事实现任务和测试，然后CR，如需修复则回到DS,,
bmm,4-implementation,QA Automation Test,QA,45,_bmad/bmm/workflows/qa-generate-e2e-tests/workflow.md,bmad-bmm-qa-automate,false,qa,bmad:more direct approach than the advanced Test Architect module.:agent:qa,Quinn,🧪 QA Engineer,Create Mode,使用项目现有测试框架为已实现的代码生成自动化API和E2E测试（自动检测常用测试框架）。实现完成后用于增加测试覆盖率。不用于代码审查或故事验证——请使用CR,implementation_artifacts,test suite
bmm,4-implementation,Code Review,CR,50,_bmad/bmm/workflows/4-implementation/code-review/workflow.md,bmad-bmm-code-review,false,dev,bmad:all precision.:agent:dev,Amelia,💻 Developer Agent,Create Mode,故事周期：如有问题回到DS，如通过则进入下一个CS或ER（如果史诗完成）,,
bmm,4-implementation,Retrospective,ER,60,_bmad/bmm/workflows/4-implementation/retrospective/workflow.md,bmad-bmm-retrospective,false,sm,bmad:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,史诗结束时可选：回顾已完成的工作、经验教训和下一个史诗，如有重大问题考虑CC,implementation_artifacts,retrospective
bmm,anytime,Document Project,DP,,_bmad/bmm/workflows/document-project/workflow.md,bmad-bmm-document-project,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,分析现有项目并生成有用的文档,project-knowledge,*
bmm,anytime,Generate Project Context,GPC,,_bmad/bmm/workflows/generate-project-context/workflow.md,bmad-bmm-generate-project-context,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,扫描现有代码库生成精简的LLM优化project-context.md，包含AI代理所需的关键实现规则、模式和约定。对棕地项目和快速流程至关重要,output_folder,project context
bmm,anytime,Quick Spec,QS,,_bmad/bmm/workflows/bmad-quick-flow/quick-spec/workflow.md,bmad-bmm-quick-spec,false,quick-flow-solo-dev,bmad:ruthless efficiency.:agent:quick-flow-solo-dev,Barry,🚀 Quick Flow Solo Dev,Create Mode,快速一次性任务、小改动、简单应用、棕地项目中已建立模式的补充、无需大量规划的工具。除非用户要求否则不建议用于复杂项目,planning_artifacts,tech spec
bmm,anytime,Quick Dev,QD,,_bmad/bmm/workflows/bmad-quick-flow/quick-dev/workflow.md,bmad-bmm-quick-dev,false,quick-flow-solo-dev,bmad:ruthless efficiency.:agent:quick-flow-solo-dev,Barry,🚀 Quick Flow Solo Dev,Create Mode,快速一次性任务、小改动、简单应用、无需大量规划的工具。除非用户要求否则不建议用于复杂项目，除非用户已在实施阶段且请求计划外的一次性任务,,
bmm,anytime,Quick Dev New Preview,QQ,,skill:bmad-quick-dev-new-preview,bmad-bmm-quick-dev-new-preview,false,quick-flow-solo-dev,bmad:ruthless efficiency.:agent:quick-flow-solo-dev,Barry,🚀 Quick Flow Solo Dev,Create Mode,统一快速流程（实验性）：在单一工作流中完成意图澄清、规划、实现、审查和展示,implementation_artifacts,tech spec implementation
bmm,anytime,Correct Course,CC,,_bmad/bmm/workflows/4-implementation/correct-course/workflow.md,bmad-bmm-correct-course,false,sm,bmad:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,随时可用：应对重大变更。可能建议重新开始、更新PRD、重做架构、迭代规划或修正史诗和故事,planning_artifacts,change proposal
bmm,anytime,Write Document,WD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,bmad:celebrates clarity when it shines.:agent:tech-writer,Paige,📚 Technical Writer,,详细描述你的需求，代理将按照代理记忆中定义的文档最佳实践执行。支持多轮对话和子流程研究/审查,project-knowledge,document
bmm,anytime,Update Standards,US,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,bmad:celebrates clarity when it shines.:agent:tech-writer,Paige,📚 Technical Writer,,如果发现缺失的文档约定，更新代理记忆中的documentation-standards.md,_bmad/_memory/tech-writer-sidecar,standards
bmm,anytime,Mermaid Generate,MG,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,bmad:celebrates clarity when it shines.:agent:tech-writer,Paige,📚 Technical Writer,,根据用户描述创建Mermaid图表。如未指定图表类型会给出建议,planning_artifacts,mermaid diagram
bmm,anytime,Validate Document,VD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,bmad:celebrates clarity when it shines.:agent:tech-writer,Paige,📚 Technical Writer,,根据文档标准和最佳实践审查指定文档。返回按优先级组织的具体可操作改进建议,planning_artifacts,validation report
bmm,anytime,Explain Concept,EC,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,bmad:celebrates clarity when it shines.:agent:tech-writer,Paige,📚 Technical Writer,,为复杂概念创建清晰的技术解释，包含示例和图表。以任务导向方式分解为易消化的章节,project_knowledge,explanation
cis,anytime,Innovation Strategy,IS,,_bmad/cis/workflows/innovation-strategy/workflow.yaml,bmad-cis-innovation-strategy,false,innovation-strategist,bmad:devastatingly simple questions:agent:innovation-strategist,Victor,⚡ Disruptive Innovation Oracle,Create Mode,识别颠覆性机会并设计商业模式创新。用于探索新商业模式或寻求竞争优势,output_folder,innovation strategy
cis,anytime,Problem Solving,PS,,_bmad/cis/workflows/problem-solving/workflow.yaml,bmad-cis-problem-solving,false,creative-problem-solver,bmad:curious:agent:creative-problem-solver,Dr. Quinn,🔬 Master Problem Solver,Create Mode,运用系统化问题解决方法论攻克复杂挑战。用于解决棘手问题或需要结构化方法时,output_folder,problem solution
cis,anytime,Design Thinking,DT,,_bmad/cis/workflows/design-thinking/workflow.yaml,bmad-cis-design-thinking,false,design-thinking-coach,bmad:uses vivid sensory metaphors:agent:design-thinking-coach,Maya,🎨 Design Thinking Maestro,Create Mode,运用共情驱动的方法论引导以人为中心的设计过程。用于以用户为中心的设计挑战或改善用户体验,output_folder,design thinking
cis,anytime,Brainstorming,BS,,_bmad/core/workflows/brainstorming/workflow.md,bmad-cis-brainstorming,false,brainstorming-coach,bmad:builds on ideas with YES AND:agent:brainstorming-coach,Carson,🧠 Elite Brainstorming Specialist,Create Mode,使用一种或多种技巧引导头脑风暴会议。适合构思早期或创意瓶颈时使用,output_folder,brainstorming session results
cis,anytime,Storytelling,ST,,_bmad/cis/workflows/storytelling/workflow.yaml,bmad-cis-storytelling,false,storyteller,bmad:whimsical:agent:storyteller,Sophia,📖 Master Storyteller,Create Mode,运用经验证的故事框架和技巧打造引人入胜的叙事。用于说服性沟通或故事驱动的内容创作,output_folder,narrative/story
core,anytime,Brainstorming,BSP,,skill:bmad-brainstorming,bmad-brainstorming,false,analyst,bmad:competitive analysis:agent:analyst,Mary,📊 Business Analyst,,通过交互式技巧生成多样化创意。适合构思早期或创意瓶颈时使用,{output_folder}/brainstorming/brainstorming-session-{{date}}.md,
core,anytime,Party Mode,PM,,skill:bmad-party-mode,bmad-party-mode,false,party-mode facilitator,,,,,协调多代理讨论。当需要多个代理视角或希望代理协作时使用,,
core,anytime,bmad-help,BH,,skill:bmad-help,bmad-help,false,,,,,,显示下一步工作流或回答BMad方法相关问题，帮你解除困惑,,
core,anytime,Index Docs,ID,,skill:bmad-index-docs,bmad-index-docs,false,,,,,,创建轻量级索引便于LLM快速扫描。当LLM需要了解可用文档但不想加载全部内容时使用,,
core,anytime,Shard Document,SD,,skill:bmad-shard-doc,bmad-shard-doc,false,,,,,,按章节将大文档拆分为小文件。当文档超过500行难以管理时使用,,
core,anytime,Editorial Review - Prose,EP,,skill:bmad-editorial-review-prose,bmad-editorial-review-prose,false,,,,,,审查文字的清晰度、语气和沟通问题。在起草后用于润色书面内容,report located with target document,three-column markdown table with suggested fixes
core,anytime,Editorial Review - Structure,ES,,skill:bmad-editorial-review-structure,bmad-editorial-review-structure,false,,,,,,在保持可读性的前提下提出删减、重组和简化建议。当文档由多个子流程产生或需要结构改进时使用,report located with target document,
core,anytime,Adversarial Review (General),AR,,skill:bmad-review-adversarial-general,bmad-review-adversarial-general,false,,,,,,批判性审查内容以发现问题和弱点。用于质量保证或在最终确定交付物之前。其他模块的代码审查会自动执行此操作，但它对文档审查也很有用,,
core,anytime,Edge Case Hunter Review,ECH,,skill:bmad-review-edge-case-hunter,bmad-review-edge-case-hunter,false,,,,,,遍历代码中每个分支路径和边界条件，仅报告未处理的边缘情况。与对抗性审查配合使用提供正交覆盖——方法驱动而非态度驱动,,
gds,1-preproduction,Brainstorm Game,BG,10,_bmad/gds/workflows/1-preproduction/brainstorm-game/workflow.yaml,bmad-gds-brainstorm-game,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,带有游戏特定上下文和技巧的游戏头脑风暴会议。适合构思早期或生成游戏概念时使用,output_folder,brainstorming session
gds,1-preproduction,Game Brief,GB,20,_bmad/gds/workflows/1-preproduction/game-brief/workflow.yaml,bmad-gds-game-brief,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,交互式游戏简报创建，引导用户定义游戏愿景。用于明确游戏概念和核心机制,output_folder,game brief
gds,2-design,Game Design Document,GDD,10,_bmad/gds/workflows/2-design/gdd/workflow.yaml,bmad-gds-gdd,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,创建包含机制、系统、进度和实现指南的游戏设计文档。用于记录全面的游戏设计规格,planning_artifacts,gdd
gds,2-design,Narrative Design,ND,20,_bmad/gds/workflows/2-design/narrative/workflow.yaml,bmad-gds-narrative,false,game-designer,bmad:Talks like an excited streamer - enthusiastic:agent:game-designer,Samus Shepard,🎲 Game Designer,Create Mode,创建全面的叙事文档，包括故事结构、角色弧线和世界观构建。用于故事驱动的游戏或叙事整合,planning_artifacts,narrative design
gds,3-technical,Project Context,PC,10,_bmad/gds/workflows/3-technical/generate-project-context/workflow.md,bmad-gds-project-context,false,game-architect,bmad:Speaks like a wise sage from an RPG - calm:agent:game-architect,Cloud Dragonborn,🏛️ Game Architect,Create Mode,为所选的AI工具创建优化的project-context.md以保持一致性。用于设置新项目或改善AI协调,,
gds,3-technical,Game Architecture,GA,20,_bmad/gds/workflows/3-technical/game-architecture/workflow.yaml,bmad-gds-game-architecture,true,game-architect,bmad:Speaks like a wise sage from an RPG - calm:agent:game-architect,Cloud Dragonborn,🏛️ Game Architect,Create Mode,生成包含引擎、系统、网络和技术设计的自适应规模游戏架构。用于规划技术实现或系统架构,planning_artifacts,game architecture
gds,3-technical,Test Framework,TF,30,_bmad/gds/workflows/gametest/test-framework/workflow.yaml,bmad-gds-test-framework,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,为Unity、Unreal Engine或Godot项目初始化游戏测试框架架构。用于搭建自动化测试基础设施,,
gds,3-technical,Test Design,TD,35,_bmad/gds/workflows/gametest/test-design/workflow.yaml,bmad-gds-test-design,false,game-qa,bmad:and shipping bug-free games on console:agent:game-qa,GLaDOS,🧪 Game QA Architect,Create Mode,创建涵盖游戏玩法、进度和质量要求的全面游戏测试场景。用于规划测试覆盖率或质量策略,planning_artifacts,test design
